country,lead_time,total_of_special_requests,agent,required_car_parking_spaces,customer_type,stays_in_weekend_nights,stays_in_week_nights,booking_changes,record_count,arrival_date_week_number,adr
SWE,47,1,9,0,Transient,0,1,0,1,43,94.5
IRL,101,1,242,0,Transient,2,3,0,1,21,58.0
CHE,117,0,9,0,Transient,2,0,0,2,47,79.2
BRA,1,0,None / Unknown,0,Transient,0,1,0,1,40,166.5
GBR,328,0,40,0,Contract,2,5,0,1,25,84.7
CHE,5,0,9,0,Transient,1,0,0,1,49,174.0
GBR,27,0,6,0,Transient,2,1,0,2,43,40.0
PRT,55,0,None / Unknown,0,Transient,2,2,0,1,38,114.9
ESP,265,2,240,0,Transient-Party,0,3,2,1,24,80.1
DEU,99,2,9,0,Transient,2,1,0,1,21,117.0
DEU,6,0,6,0,Transient-Party,0,2,0,4,50,0.0
PRT,219,1,177,0,Transient,0,3,0,10,24,84.6
PRT,32,1,9,0,Contract,1,2,0,1,46,159.3
PRT,4,1,240,1,Transient,0,1,0,1,43,56.4
USA,226,0,83,0,Transient,0,2,0,1,10,72.0
PRT,14,0,9,0,Transient,2,1,0,2,16,127.67
GBR,8,0,7,0,Transient,0,1,0,1,42,92.4
PRT,1,0,240,0,Transient,0,0,0,1,26,0.0
PRT,186,1,75,0,Transient,6,15,0,1,8,38.55
ITA,63,2,240,0,Transient,0,2,0,1,33,286.0
PRT,13,0,9,0,Transient,0,1,0,1,50,88.0
ESP,70,2,9,0,Transient,0,3,0,1,50,113.87
PRT,150,1,9,0,Transient,2,3,1,1,30,76.5
PRT,14,2,9,0,Transient,0,2,0,1,1,106.0
FRA,24,0,28,0,Transient,1,2,0,1,49,80.0
ESP,116,1,240,0,Transient,1,1,0,1,25,135.0
AUT,115,0,27,0,Transient,2,3,0,1,11,68.0
CHL,121,1,14,0,Transient,2,4,4,1,33,114.75
PRT,8,0,None / Unknown,0,Transient,0,1,0,1,7,54.0
DEU,193,2,9,0,Transient,3,10,0,1,28,81.82
CN,230,2,240,0,Transient-Party,0,3,1,1,31,155.75
PRT,120,1,240,0,Transient,0,3,0,1,33,112.5
ISR,105,0,9,0,Transient,1,1,0,1,27,105.3
PRT,264,1,9,0,Contract,1,2,1,1,28,95.4
