,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,cancel_date,record_count,is_duplicate,arrival_date,booking_date,cancel_days_after_booking,cancel_days_before_arrival,frac_lead_time_before_cancel
0,City Hotel,True,277,2016,November,46,7,1,2,2,0,0,BB,PRT,Groups,TA/TO,False,0,0,A,A,0,Non Refund,Unspecified / None,0,0,Transient,100.0,0,0,Canceled,2016-04-04,180,True,2016-11-07,2016-02-04,60,217,0.21660649819494585
1,City Hotel,True,68,2016,February,8,17,0,2,2,0,0,BB,PRT,Groups,TA/TO,False,1,0,A,A,0,Non Refund,37,0,0,Transient,75.0,0,0,Canceled,2016-01-06,150,True,2016-02-17,2015-12-11,26,42,0.38235294117647056
2,City Hotel,True,188,2016,June,25,15,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,119,0,39,Transient,130.0,0,0,Canceled,2016-01-18,109,True,2016-06-15,2015-12-10,39,149,0.2074468085106383
3,City Hotel,True,158,2016,May,22,24,0,2,1,0,0,BB,PRT,Groups,TA/TO,False,0,0,A,A,0,Non Refund,37,0,31,Transient,130.0,0,0,Canceled,2016-01-18,101,True,2016-05-24,2015-12-18,31,127,0.1962025316455696
4,City Hotel,True,34,2015,December,50,8,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,False,1,0,A,A,0,Non Refund,19,0,0,Transient,90.0,0,0,Canceled,2015-11-17,100,True,2015-12-08,2015-11-04,13,21,0.38235294117647056
5,City Hotel,True,28,2017,March,9,2,0,3,2,0,0,BB,PRT,Groups,TA/TO,False,0,0,A,A,0,Non Refund,Unspecified / None,0,0,Transient,95.0,0,0,Canceled,2017-02-02,99,True,2017-03-02,2017-02-02,0,28,0.0
6,City Hotel,True,156,2017,April,17,26,0,3,2,0,0,BB,PRT,Groups,TA/TO,False,0,0,A,A,0,Non Refund,37,0,0,Transient,100.0,0,0,Canceled,2016-11-21,99,True,2017-04-26,2016-11-21,0,156,0.0
7,City Hotel,True,38,2017,January,2,14,0,1,1,0,0,BB,PRT,Corporate,Corporate,False,0,0,A,A,0,Non Refund,Unspecified / None,67,0,Transient,75.0,0,0,Canceled,2016-12-07,99,True,2017-01-14,2016-12-07,0,38,0.0
8,City Hotel,True,71,2016,June,25,14,0,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,236,0,0,Transient,120.0,0,0,Canceled,2016-04-27,89,True,2016-06-14,2016-04-04,23,48,0.323943661971831
9,City Hotel,True,304,2016,November,45,3,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,False,0,0,A,A,0,Non Refund,21,0,0,Transient,89.0,0,0,Canceled,2016-02-01,85,True,2016-11-03,2016-01-04,28,276,0.09210526315789473
