country,Total Bookings,% Cancelled
AGO,284,53.9
CHN,796,48.9
TUR,211,46.0
MAR,217,44.2
LUX,238,42.4
RUS,531,40.3
KOR,110,39.1
PRT,24722,37.1
BRA,1896,37.0
ITA,2917,36.3
ISR,385,33.5
HUN,192,32.3
NOR,473,29.6
GRC,109,29.4
ESP,6479,27.5
ROU,428,26.2
USA,1624,25.9
ARG,196,25.5
AUS,344,25.3
DNK,354,25.1
CHE,1431,24.9
CZE,129,24.8
IND,133,24.1
IRL,2662,23.3
SWE,773,22.3
POL,708,22.0
BEL,1882,20.8
FRA,8129,20.3
CN,1003,20.2
DEU,5134,19.9
GBR,9571,19.8
NLD,1783,19.0
AUT,922,18.3
FIN,386,15.8
JPN,171,14.6
