,hotel,is_canceled,reserved_room_type,assigned_room_type,record_count,is_reassigned,reserved_to_assigned
0,City Hotel,True,A,A,180,False,A to A
1,City Hotel,True,A,A,150,False,A to A
2,City Hotel,True,A,A,109,False,A to A
3,City Hotel,True,A,A,101,False,A to A
4,City Hotel,True,A,A,100,False,A to A
5,City Hotel,True,A,A,99,False,A to A
6,City Hotel,True,A,A,99,False,A to A
7,City Hotel,True,A,A,99,False,A to A
8,City Hotel,True,A,A,89,False,A to A
9,City Hotel,True,A,A,85,False,A to A
10,City Hotel,True,A,A,85,False,A to A
11,City Hotel,True,A,A,85,False,A to A
12,City Hotel,True,A,A,84,False,A to A
13,City Hotel,True,A,A,84,False,A to A
14,City Hotel,True,A,A,79,False,A to A
15,City Hotel,True,A,A,79,False,A to A
16,City Hotel,True,A,A,79,False,A to A
17,City Hotel,True,A,A,72,False,A to A
18,City Hotel,True,A,A,70,False,A to A
19,City Hotel,True,A,A,70,False,A to A
20,City Hotel,True,A,A,69,False,A to A
21,City Hotel,True,A,A,69,False,A to A
22,City Hotel,True,A,A,69,False,A to A
23,City Hotel,True,A,A,65,False,A to A
24,City Hotel,True,A,A,65,False,A to A
25,City Hotel,True,A,A,65,False,A to A
26,City Hotel,True,A,A,65,False,A to A
27,City Hotel,True,A,A,64,False,A to A
28,City Hotel,True,A,A,62,False,A to A
29,City Hotel,True,A,A,60,False,A to A
30,City Hotel,True,A,A,60,False,A to A
31,City Hotel,True,A,A,60,False,A to A
32,City Hotel,True,A,A,60,False,A to A
33,City Hotel,True,A,A,59,False,A to A
34,City Hotel,True,A,A,59,False,A to A
35,City Hotel,True,A,A,59,False,A to A
36,City Hotel,True,A,A,58,False,A to A
37,City Hotel,True,A,A,58,False,A to A
38,City Hotel,True,A,A,58,False,A to A
39,City Hotel,True,A,A,58,False,A to A
40,City Hotel,False,A,A,56,False,A to A
41,City Hotel,True,A,A,55,False,A to A
42,City Hotel,True,A,A,54,False,A to A
43,City Hotel,False,A,A,53,False,A to A
44,City Hotel,True,A,A,52,False,A to A
45,City Hotel,True,A,A,52,False,A to A
46,City Hotel,True,A,A,51,False,A to A
47,City Hotel,False,A,A,51,False,A to A
48,City Hotel,True,A,A,50,False,A to A
49,Resort Hotel,True,A,A,50,False,A to A
